method,check,n_eligible,n_fail,n_clusters,estimated,skip_reason
gold,no_clashes_with_inorganic_cofactors,185,0,185,False,no_failures
gold,no_volume_clash_with_protein,425,1,425,False,too_few_failures
gold,no_volume_clash_with_organic_cofactors,185,0,185,False,no_failures
gold,no_volume_clash_with_inorganic_cofactors,185,0,185,False,no_failures
vina,docked_ligand_successfully_loaded,428,0,428,False,no_failures
vina,molecule_passes_rdkit_sanity_check,428,0,428,False,no_failures
vina,molecular_formula_preserved,428,0,428,False,no_failures
vina,molecular_bonds_preserved,428,0,428,False,no_failures
vina,sp3_stereochemistry_preserved,249,0,249,False,no_failures
vina,double_bond_stereochemistry_preserved,29,0,29,False,no_failures
vina,bond_lengths_within_bounds,428,2,428,False,too_few_failures
vina,bond_angles_within_bounds,428,2,428,False,too_few_failures
vina,no_internal_clashes,428,0,428,False,no_failures
vina,aromatic_ring_flatness_passes,340,0,340,False,no_failures
vina,double_bond_flatness_passes,10,0,10,False,no_failures
vina,energy_ratio_within_threshold,428,7,428,False,too_few_failures
vina,no_clashes_with_protein,428,2,428,False,too_few_failures
vina,no_clashes_with_organic_cofactors,187,1,187,False,too_few_failures
vina,no_clashes_with_inorganic_cofactors,187,1,187,False,too_few_failures
vina,no_volume_clash_with_protein,428,0,428,False,no_failures
vina,no_volume_clash_with_organic_cofactors,187,1,187,False,too_few_failures
vina,no_volume_clash_with_inorganic_cofactors,187,1,187,False,too_few_failures
