method,check,descriptor,d,lo,hi,p_value,n_fail,n_eligible,n_clusters,fdr_reject,abs_d
equibind,no_internal_clashes,mw,0.9845496975399043,0.7270723761938024,1.265944739258859,0.0005,86,426,426,True,0.9845496975399043
deepdock,no_clashes_with_protein,mw,0.9777562293671607,0.7494995490464079,1.2157289985878694,0.0005,370,427,427,True,0.9777562293671607
equibind,no_clashes_with_protein,mw,0.9766647180374554,0.5997022816291244,1.326207089160935,0.000500751126690035,417,426,426,True,0.9766647180374554
tankbind,sp3_stereochemistry_preserved,clogp,-0.9726440112945205,-1.3184968018678906,-0.6922898048232424,0.0005,181,249,249,True,0.9726440112945205
tankbind,energy_ratio_within_threshold,n_rotatable_bonds,0.9651842769696288,0.7931961209443285,1.1476461537338605,0.0005,219,428,428,True,0.9651842769696288
tankbind,no_internal_clashes,mw,0.9623632378276542,0.7839004820838852,1.1625110415017488,0.0005,226,428,428,True,0.9623632378276542
unimol,no_internal_clashes,n_aromatic_rings,0.9542644235252622,0.7085086388909136,1.2127129939802155,0.0005,66,427,427,True,0.9542644235252622
deepdock,no_clashes_with_protein,n_rotatable_bonds,0.9163925292616468,0.7102830951126061,1.1391508223817612,0.0005,370,427,427,True,0.9163925292616468
tankbind,energy_ratio_within_threshold,mw,0.8978290457913267,0.7052958992755263,1.0920814272143606,0.0005,219,428,428,True,0.8978290457913267
diffdock,no_internal_clashes,n_stereocentres,0.895877279571056,0.4182745410350744,1.437211451730686,0.0005,25,426,426,True,0.895877279571056
deepdock,no_internal_clashes,mw,0.8805856910115638,0.6922095521384034,1.0747108065151265,0.0005,205,427,427,True,0.8805856910115638
equibind,energy_ratio_within_threshold,mw,0.8680497135806057,0.626709865575288,1.1454421798557066,0.0005,92,426,426,True,0.8680497135806057
tankbind,bond_angles_within_bounds,formal_charge,0.8638890973698605,-0.12468914434106611,2.1404905343911738,0.249,17,428,428,False,0.8638890973698605
deepdock,no_volume_clash_with_protein,n_rotatable_bonds,0.8637474559443128,0.7057932355240165,1.0463776657356678,0.0005,278,427,427,True,0.8637474559443128
tankbind,no_internal_clashes,n_rotatable_bonds,0.8623201985669953,0.6898450068197387,1.0472979088620717,0.0005,226,428,428,True,0.8623201985669953
gold,no_clashes_with_protein,n_stereocentres,0.8463694797467465,0.37833342956112986,1.3786967110088997,0.0005,19,425,425,True,0.8463694797467465
equibind,no_clashes_with_protein,n_rotatable_bonds,0.8404922431747854,0.6559426407904501,1.0225988891023527,0.000500751126690035,417,426,426,True,0.8404922431747854
unimol,sp3_stereochemistry_preserved,n_stereocentres,0.8398712080568933,0.6337696836321327,1.0546460375209916,0.0005,169,249,249,True,0.8398712080568933
equibind,no_internal_clashes,n_stereocentres,0.8292675227498233,0.5252114147811611,1.1572884723834211,0.0005,86,426,426,True,0.8292675227498233
unimol,energy_ratio_within_threshold,n_stereocentres,0.7960754070411075,0.5972918184741355,1.0133135270723919,0.0005,165,427,427,True,0.7960754070411075
tankbind,bond_angles_within_bounds,mw,0.7943854070847038,0.34507290485091335,1.2657098456915015,0.0005,17,428,428,True,0.7943854070847038
unimol,bond_lengths_within_bounds,n_aromatic_rings,0.7874566543919852,0.5856849477567113,1.003921612209672,0.0005,269,427,427,True,0.7874566543919852
tankbind,bond_lengths_within_bounds,n_stereocentres,0.76000747391539,0.26198043197378684,1.2970852544450604,0.003,37,428,428,True,0.76000747391539
deepdock,energy_ratio_within_threshold,mw,0.7398513673974306,0.5548808636646666,0.9145376908304784,0.0005,205,427,427,True,0.7398513673974306
unimol,bond_angles_within_bounds,n_aromatic_rings,0.7308194475185059,0.5246538420002889,0.9366496167076136,0.0005,284,427,427,True,0.7308194475185059
diffdock,energy_ratio_within_threshold,n_stereocentres,0.6979900569407552,0.22698353045142006,1.2289890268631205,0.002,26,426,426,True,0.6979900569407552
deepdock,no_volume_clash_with_protein,n_stereocentres,0.6603886663380406,0.5060993921392453,0.8058433729633129,0.0005,278,427,427,True,0.6603886663380406
deepdock,no_volume_clash_with_organic_cofactors,mw,-0.6542565731415281,-1.1887783778088357,-0.05327398806897115,0.037,16,187,187,False,0.6542565731415281
tankbind,bond_angles_within_bounds,n_halogens,0.641776680635378,-0.09245562077510176,1.5243093691375078,0.097,17,428,428,False,0.641776680635378
deepdock,no_clashes_with_protein,n_stereocentres,0.6164876428452696,0.442747158326737,0.7775338814341132,0.0005,370,427,427,True,0.6164876428452696
tankbind,energy_ratio_within_threshold,n_stereocentres,0.6092194820783299,0.4296784088265595,0.7833631001548181,0.0005,219,428,428,True,0.6092194820783299
equibind,energy_ratio_within_threshold,n_stereocentres,0.6045057295801697,0.3361984154595355,0.902227762885885,0.0005,92,426,426,True,0.6045057295801697
diffdock,no_clashes_with_protein,n_stereocentres,0.5999548956751841,0.42422043906621115,0.7731049338695856,0.0005,291,426,426,True,0.5999548956751841
diffdock,no_clashes_with_protein,n_rotatable_bonds,0.5965947491352118,0.40821316688043635,0.7887871866134996,0.0005,291,426,426,True,0.5965947491352118
equibind,no_clashes_with_protein,n_stereocentres,0.5823854421787182,0.2728582282652718,0.8066714981785504,0.000500751126690035,417,426,426,True,0.5823854421787182
diffdock,no_volume_clash_with_protein,clogp,-0.579580088476437,-0.8390085884518959,-0.3444798231793408,0.0005,83,426,426,True,0.579580088476437
unimol,aromatic_ring_flatness_passes,n_aromatic_rings,0.575397478749388,0.3165795228382343,0.8652225873317871,0.0005,89,340,340,True,0.575397478749388
deepdock,no_volume_clash_with_organic_cofactors,n_aromatic_rings,-0.5712652273273265,-0.9697963902820559,-0.1357502905831839,0.019,16,187,187,False,0.5712652273273265
unimol,no_internal_clashes,clogp,0.5699658204959823,0.25598676615823585,0.888987317251277,0.0005,66,427,427,True,0.5699658204959823
unimol,no_clashes_with_protein,mw,0.5641890793400552,0.33623428287612533,0.7926662988248191,0.0005,350,427,427,True,0.5641890793400552
tankbind,bond_angles_within_bounds,n_stereocentres,0.561168311171824,-0.04560336346505566,1.286193921374545,0.074,17,428,428,False,0.561168311171824
unimol,bond_lengths_within_bounds,n_stereocentres,0.556168266455591,0.39943575222861244,0.7095816641153764,0.0005,269,427,427,True,0.556168266455591
unimol,sp3_stereochemistry_preserved,clogp,-0.5522063027439166,-0.8545234198582939,-0.2832273248915722,0.0005,169,249,249,True,0.5522063027439166
gold,no_clashes_with_protein,mw,0.5496040596396885,0.15543806031815044,0.9511141619547328,0.008,19,425,425,True,0.5496040596396885
unimol,no_clashes_with_protein,n_rotatable_bonds,0.5409638506880968,0.3598495696589249,0.7309764790546964,0.0005,350,427,427,True,0.5409638506880968
diffdock,no_clashes_with_protein,mw,0.530986054451043,0.3412191245832852,0.7338890775751793,0.0005,291,426,426,True,0.530986054451043
deepdock,energy_ratio_within_threshold,n_stereocentres,0.522562916038874,0.3344646668005398,0.7025874909282794,0.0005,205,427,427,True,0.522562916038874
tankbind,no_internal_clashes,n_stereocentres,0.5144590260542314,0.33852175456322986,0.678088143774587,0.0005,226,428,428,True,0.5144590260542314
deepdock,no_internal_clashes,n_stereocentres,0.5054663694852995,0.31593567919448573,0.7121989347530804,0.0005,205,427,427,True,0.5054663694852995
unimol,bond_angles_within_bounds,n_stereocentres,0.49187011910855105,0.3318720396759084,0.6521414419023966,0.0005,284,427,427,True,0.49187011910855105
unimol,aromatic_ring_flatness_passes,mw,0.4907215127050115,0.23077326938876652,0.7584793430796083,0.0005,89,340,340,True,0.4907215127050115
equibind,no_clashes_with_protein,n_aromatic_rings,0.49013277760324664,-0.13754951585640776,1.1037076910371146,0.10615923885828743,417,426,426,False,0.49013277760324664
gold,no_clashes_with_protein,formal_charge,0.4696615741641561,-0.1626088297261949,1.618255717127956,0.712,19,425,425,False,0.4696615741641561
unimol,no_volume_clash_with_organic_cofactors,mw,-0.4659283732938771,-0.9924287346469252,0.08900506411999114,0.095,19,186,186,False,0.4659283732938771
unimol,aromatic_ring_flatness_passes,n_halogens,0.46126951099001884,0.17953363642947148,0.7409406345939453,0.002,89,340,340,True,0.46126951099001884
unimol,no_internal_clashes,n_halogens,0.4607153154480158,0.1013793204010454,0.8492164826699057,0.01,66,427,427,True,0.4607153154480158
tankbind,bond_lengths_within_bounds,n_rotatable_bonds,0.4538294229804932,0.035199323070287614,0.9010045381730923,0.031,37,428,428,False,0.4538294229804932
unimol,bond_angles_within_bounds,n_halogens,0.44758356382619685,0.3319537328755217,0.5579611086359124,0.0005,284,427,427,True,0.44758356382619685
deepdock,no_volume_clash_with_protein,n_aromatic_rings,0.44740629819687144,0.24868966334538947,0.6600826866604359,0.0005,278,427,427,True,0.44740629819687144
unimol,sp3_stereochemistry_preserved,n_halogens,-0.4432724879968284,-0.7309146235521748,-0.1456363521758064,0.001,169,249,249,True,0.4432724879968284
equibind,no_volume_clash_with_protein,n_stereocentres,0.4388167182174285,0.21120782030800134,0.6535586087326873,0.001,382,426,426,True,0.4388167182174285
gold,no_clashes_with_protein,clogp,-0.4376156244562415,-0.9454773344467211,0.10322661487479867,0.105,19,425,425,False,0.4376156244562415
deepdock,no_volume_clash_with_organic_cofactors,n_rotatable_bonds,-0.4335853591834881,-0.9077438132659582,0.07762562001698656,0.101,16,187,187,False,0.4335853591834881
diffdock,no_clashes_with_protein,clogp,-0.42758470436579543,-0.6347349468017309,-0.2298869970012193,0.0005,291,426,426,True,0.42758470436579543
unimol,sp3_stereochemistry_preserved,n_aromatic_rings,-0.4266578309868709,-0.6961007039082064,-0.1627240116699078,0.003,169,249,249,True,0.4266578309868709
diffdock,no_internal_clashes,n_aromatic_rings,0.4219389812875499,-0.012642897620627518,0.8491292404010548,0.054,25,426,426,False,0.4219389812875499
equibind,no_volume_clash_with_organic_cofactors,mw,-0.4164491551746758,-0.8424059772310818,0.01136422992901472,0.056,32,185,185,False,0.4164491551746758
unimol,no_volume_clash_with_organic_cofactors,clogp,0.415889413499396,-0.11371014953620709,0.9847239174291592,0.124,19,186,186,False,0.415889413499396
tankbind,sp3_stereochemistry_preserved,n_halogens,-0.4154210766904539,-0.7509099908737376,-0.09503011563803529,0.008,181,249,249,True,0.4154210766904539
tankbind,no_clashes_with_organic_cofactors,clogp,0.4129871634120721,0.12832287637035075,0.7398739775299193,0.005,81,187,187,True,0.4129871634120721
diffdock,energy_ratio_within_threshold,n_aromatic_rings,0.4106598510597742,0.0035563127718005487,0.8168719736318953,0.049,26,426,426,False,0.4106598510597742
unimol,no_internal_clashes,n_stereocentres,0.4100510206506148,0.10251578415148235,0.7469525560765065,0.004,66,427,427,True,0.4100510206506148
diffdock,no_volume_clash_with_protein,n_stereocentres,0.3925350354112274,0.14221587588602772,0.664495093530389,0.002,83,426,426,True,0.3925350354112274
equibind,no_volume_clash_with_protein,clogp,-0.3868954645550256,-0.6491655552183699,-0.12277365945242123,0.007,382,426,426,True,0.3868954645550256
deepdock,no_volume_clash_with_organic_cofactors,n_stereocentres,-0.3858020146350842,-0.7991002535491609,0.14108992815302396,0.117,16,187,187,False,0.3858020146350842
unimol,no_clashes_with_organic_cofactors,n_stereocentres,0.37875892982142234,-0.0053263977224760955,0.7874224444558118,0.051,49,186,186,False,0.37875892982142234
diffdock,no_volume_clash_with_protein,n_aromatic_rings,-0.3761558719470712,-0.5917315754544024,-0.1617573012717909,0.001,83,426,426,True,0.3761558719470712
tankbind,no_clashes_with_protein,n_rotatable_bonds,0.3737212820015108,0.15328874126602535,0.602744521079422,0.0005,357,428,428,True,0.3737212820015108
unimol,no_volume_clash_with_protein,n_rotatable_bonds,0.3640286021630629,0.18124294490435958,0.5519059052555264,0.0005,213,427,427,True,0.3640286021630629
unimol,bond_lengths_within_bounds,n_halogens,0.3620601789984834,0.2138156597055207,0.4907882859694602,0.0005,269,427,427,True,0.3620601789984834
tankbind,no_volume_clash_with_protein,n_aromatic_rings,-0.35573716075720546,-0.5461550196571779,-0.17908705458174531,0.0005,199,428,428,True,0.35573716075720546
deepdock,no_clashes_with_organic_cofactors,n_stereocentres,-0.3545574102021133,-0.6961765371053886,0.03250145024305462,0.072,32,187,187,False,0.3545574102021133
tankbind,no_volume_clash_with_organic_cofactors,clogp,0.3531441099969248,0.02972790154662214,0.7016231843072234,0.04,53,187,187,False,0.3531441099969248
equibind,no_volume_clash_with_protein,n_rotatable_bonds,0.3471192213638438,0.08041759759132439,0.615342098417206,0.014,382,426,426,True,0.3471192213638438
unimol,bond_lengths_within_bounds,clogp,0.34309088844914437,0.16917258716666259,0.5253968393202609,0.0005,269,427,427,True,0.34309088844914437
tankbind,no_volume_clash_with_protein,clogp,-0.34264348391840393,-0.5394791316033136,-0.15631830788851764,0.001,199,428,428,True,0.34264348391840393
unimol,no_volume_clash_with_organic_cofactors,n_stereocentres,-0.3356097209177715,-0.6714225417665655,0.03888443361188085,0.08,19,186,186,False,0.3356097209177715
tankbind,no_volume_clash_with_organic_cofactors,mw,-0.33123812555778365,-0.687509154520409,-0.006842350494102069,0.044,53,187,187,False,0.33123812555778365
unimol,no_volume_clash_with_organic_cofactors,n_aromatic_rings,-0.3309895524025695,-0.7678963038951665,0.1035378819787362,0.14,19,186,186,False,0.3309895524025695
tankbind,no_internal_clashes,n_aromatic_rings,0.3303012183020575,0.13634278677342035,0.5225507059983726,0.0005,226,428,428,True,0.3303012183020575
diffdock,no_internal_clashes,n_halogens,0.32672752155531154,-0.21050470332479124,0.9936347433688272,0.341,25,426,426,False,0.32672752155531154
tankbind,no_clashes_with_protein,mw,0.32454611394516913,0.07914203540561102,0.5655327867401375,0.01,357,428,428,True,0.32454611394516913
deepdock,no_clashes_with_protein,n_aromatic_rings,0.32377861653627027,0.042342226599646635,0.598909248898875,0.029,370,427,427,False,0.32377861653627027
unimol,no_clashes_with_protein,n_stereocentres,0.3168039484723046,0.10835036256655871,0.5096947711418296,0.005,350,427,427,True,0.3168039484723046
tankbind,aromatic_ring_flatness_passes,formal_charge,0.3138685320977863,-0.04497667100344856,0.6348263322926946,0.09304652326163082,71,340,340,False,0.3138685320977863
tankbind,bond_lengths_within_bounds,n_aromatic_rings,0.30677431625036844,-0.023473163553412352,0.6512493870575077,0.066,37,428,428,False,0.30677431625036844
unimol,aromatic_ring_flatness_passes,clogp,0.2992101501121157,0.039414246792691794,0.5770526832183381,0.027,89,340,340,False,0.2992101501121157
diffdock,energy_ratio_within_threshold,n_halogens,0.2967274086739452,-0.20311090015730407,0.9152234881937441,0.377,26,426,426,False,0.2967274086739452
unimol,aromatic_ring_flatness_passes,n_rotatable_bonds,0.2922877704825584,0.056888757646308435,0.5628532956822813,0.014,89,340,340,True,0.2922877704825584
tankbind,bond_angles_within_bounds,clogp,0.2895363783850314,-0.18466666668688375,0.776847887945239,0.237,17,428,428,False,0.2895363783850314
tankbind,aromatic_ring_flatness_passes,mw,0.2877940687664328,0.06442769364514761,0.5404367386509527,0.017,71,340,340,False,0.2877940687664328
unimol,no_volume_clash_with_protein,mw,0.27800557204406184,0.09790941750510306,0.4834116429449323,0.004,213,427,427,True,0.27800557204406184
equibind,no_volume_clash_with_protein,mw,0.2768766870435863,-0.01612075506745156,0.5754571681783401,0.065,382,426,426,False,0.2768766870435863
tankbind,aromatic_ring_flatness_passes,n_aromatic_rings,0.2745523851047769,0.028573639223897943,0.5435834002385923,0.03,71,340,340,False,0.2745523851047769
equibind,no_volume_clash_with_organic_cofactors,n_aromatic_rings,-0.2633625013339106,-0.6276506723317579,0.0717018143490141,0.125,32,185,185,False,0.2633625013339106
unimol,bond_angles_within_bounds,clogp,0.2628099436021377,0.08222973049079062,0.44071902220021497,0.001,284,427,427,True,0.2628099436021377
equibind,no_clashes_with_protein,n_halogens,0.2573627436523783,-0.06263185992477215,0.4730843919911749,0.09113670505758638,417,426,426,False,0.2573627436523783
diffdock,no_volume_clash_with_protein,n_halogens,-0.256117070239129,-0.4334778575191452,-0.04681913924328437,0.016,83,426,426,True,0.256117070239129
tankbind,bond_lengths_within_bounds,n_halogens,0.2495945068493334,-0.20212531833026087,0.748773020590312,0.299,37,428,428,False,0.2495945068493334
deepdock,no_clashes_with_organic_cofactors,clogp,0.24849858908850356,-0.1579160358783738,0.6678886583911758,0.221,32,187,187,False,0.24849858908850356
unimol,no_clashes_with_organic_cofactors,n_rotatable_bonds,0.2365101018028382,-0.1087076143734449,0.5864442839049511,0.184,49,186,186,False,0.2365101018028382
deepdock,no_volume_clash_with_organic_cofactors,clogp,-0.2334640274133912,-0.5748551879549122,0.15439025654526395,0.235,16,187,187,False,0.2334640274133912
tankbind,no_volume_clash_with_protein,n_halogens,-0.2312254017034183,-0.4149844707218245,-0.051052220712600085,0.016,199,428,428,True,0.2312254017034183
diffdock,no_volume_clash_with_organic_cofactors,mw,-0.22673113021399863,-0.5731100481437651,0.12226335191981433,0.181,52,187,187,False,0.22673113021399863
tankbind,no_clashes_with_inorganic_cofactors,n_rotatable_bonds,-0.22523125502619842,-0.5671683131768124,0.1816394092745127,0.244,19,187,187,False,0.22523125502619842
tankbind,sp3_stereochemistry_preserved,mw,0.22436507935708844,-0.03710040457708005,0.4802779176112057,0.091,181,249,249,False,0.22436507935708844
equibind,no_volume_clash_with_organic_cofactors,n_halogens,-0.22402937726970684,-0.5061726352803444,0.1646470141335893,0.238,32,185,185,False,0.22402937726970684
unimol,no_volume_clash_with_protein,n_stereocentres,0.22222330041936963,0.04416224446872364,0.3999236508795511,0.015,213,427,427,True,0.22222330041936963
tankbind,bond_lengths_within_bounds,clogp,0.21670737542101867,-0.21887201624812785,0.6777161922035777,0.348,37,428,428,False,0.21670737542101867
tankbind,sp3_stereochemistry_preserved,n_aromatic_rings,-0.2152400567851008,-0.520337467529748,0.06259219776202678,0.145,181,249,249,False,0.2152400567851008
unimol,energy_ratio_within_threshold,n_aromatic_rings,0.2142156039479607,0.00918848762340136,0.4200737553775768,0.038,165,427,427,False,0.2142156039479607
equibind,no_volume_clash_with_organic_cofactors,n_rotatable_bonds,-0.21156561987961542,-0.6361118878985274,0.23694761665114894,0.363,32,185,185,False,0.21156561987961542
tankbind,aromatic_ring_flatness_passes,n_halogens,0.20685820723210502,-0.08059809413009614,0.5264413427852843,0.197,71,340,340,False,0.20685820723210502
tankbind,no_clashes_with_protein,n_stereocentres,0.20312298914832733,-0.07218916879111163,0.4703550353325555,0.138,357,428,428,False,0.20312298914832733
tankbind,bond_lengths_within_bounds,formal_charge,0.20099639660375418,-0.1353591175243361,0.689048419466591,0.308,37,428,428,False,0.20099639660375418
diffdock,no_clashes_with_organic_cofactors,n_stereocentres,0.19618515195174036,-0.11274951127964383,0.4930827479664885,0.198,74,187,187,False,0.19618515195174036
tankbind,no_clashes_with_inorganic_cofactors,mw,-0.19355325722131814,-0.4764888489740596,0.10893440748050198,0.221,19,187,187,False,0.19355325722131814
deepdock,no_volume_clash_with_protein,n_halogens,0.1856996574814629,-0.004217218891906014,0.3465000253463421,0.054,278,427,427,False,0.1856996574814629
tankbind,no_volume_clash_with_protein,mw,-0.18279467771748353,-0.378675943794387,0.0002364942158497003,0.052,199,428,428,False,0.18279467771748353
deepdock,no_clashes_with_organic_cofactors,n_aromatic_rings,-0.18264079102275935,-0.5642947141987157,0.18748584938569648,0.347,32,187,187,False,0.18264079102275935
tankbind,no_clashes_with_organic_cofactors,n_aromatic_rings,0.18144149332156725,-0.11496489443326746,0.4603828550848679,0.215,81,187,187,False,0.18144149332156725
tankbind,no_clashes_with_protein,clogp,-0.18028836177462051,-0.4375729809876946,0.0589795453036752,0.152,357,428,428,False,0.18028836177462051
deepdock,no_volume_clash_with_organic_cofactors,formal_charge,0.17736899024665123,-0.18710102818737842,0.8031423290386619,0.6961325966850829,16,187,187,False,0.17736899024665123
equibind,no_internal_clashes,clogp,-0.17650572040842277,-0.4207611595832026,0.0783102591954614,0.172,86,426,426,False,0.17650572040842277
deepdock,no_internal_clashes,n_aromatic_rings,0.17497717359321008,-0.011293283470802704,0.3683507993120463,0.066,205,427,427,False,0.17497717359321008
equibind,no_clashes_with_organic_cofactors,mw,-0.17292999605688186,-0.5192130545041563,0.16623292109678267,0.282,56,185,185,False,0.17292999605688186
unimol,no_clashes_with_protein,n_aromatic_rings,0.16921282170327573,-0.0676906168915699,0.40029934299613795,0.144,350,427,427,False,0.16921282170327573
deepdock,no_clashes_with_organic_cofactors,n_halogens,0.16763299506177104,-0.24285280789284247,0.6780397595532385,0.503,32,187,187,False,0.16763299506177104
tankbind,no_volume_clash_with_protein,formal_charge,0.16023276018419372,-0.024692614166232515,0.33668706232700085,0.089,199,428,428,False,0.16023276018419372
deepdock,no_clashes_with_organic_cofactors,mw,-0.15736320897460782,-0.5976884078488423,0.27522355868309234,0.451,32,187,187,False,0.15736320897460782
tankbind,no_volume_clash_with_organic_cofactors,n_rotatable_bonds,-0.15671488354724536,-0.5103137433659214,0.17981667204981167,0.347,53,187,187,False,0.15671488354724536
diffdock,no_volume_clash_with_organic_cofactors,n_aromatic_rings,-0.1540474193723841,-0.47527084521096835,0.17929338126976063,0.338,52,187,187,False,0.1540474193723841
equibind,no_internal_clashes,n_aromatic_rings,0.1492426825693645,-0.0750537405851336,0.3807131125113969,0.195,86,426,426,False,0.1492426825693645
unimol,energy_ratio_within_threshold,formal_charge,0.14916346912040213,-0.09247280192478327,0.3796143222029903,0.21,165,427,427,False,0.14916346912040213
gold,no_clashes_with_protein,n_rotatable_bonds,0.14853381915971833,-0.27506040519527586,0.6118699292487617,0.523,19,425,425,False,0.14853381915971833
tankbind,bond_angles_within_bounds,n_aromatic_rings,0.14748104715272306,-0.34249479477488287,0.6672345796606839,0.527,17,428,428,False,0.14748104715272306
tankbind,aromatic_ring_flatness_passes,clogp,0.14658548534492702,-0.11540068831808172,0.4199805500067956,0.267,71,340,340,False,0.14658548534492702
equibind,no_internal_clashes,n_halogens,-0.14389446732284933,-0.3801524873668147,0.11383293263105901,0.262,86,426,426,False,0.14389446732284933
tankbind,aromatic_ring_flatness_passes,n_rotatable_bonds,0.14245468442517611,-0.07602557739331682,0.3890606272236222,0.204,71,340,340,False,0.14245468442517611
deepdock,sp3_stereochemistry_preserved,n_aromatic_rings,0.14017314082526988,-0.11210091067675516,0.3877199887157179,0.243,106,248,248,False,0.14017314082526988
diffdock,no_clashes_with_organic_cofactors,formal_charge,-0.13981515052928783,-0.35464839618115823,0.07694399849403377,0.2722250125565043,74,187,187,False,0.13981515052928783
tankbind,bond_angles_within_bounds,n_rotatable_bonds,0.1356323321334918,-0.23697430435353703,0.6177540715206549,0.567,17,428,428,False,0.1356323321334918
tankbind,no_internal_clashes,formal_charge,0.13521728662029325,-0.03242368584563051,0.2984844322309486,0.125,226,428,428,False,0.13521728662029325
gold,no_clashes_with_protein,n_aromatic_rings,0.13354874586281693,-0.3034235541459521,0.5843420502013243,0.554,19,425,425,False,0.13354874586281693
unimol,no_clashes_with_organic_cofactors,n_aromatic_rings,-0.13124317930789559,-0.4444498272534097,0.18902947400355377,0.426,49,186,186,False,0.13124317930789559
tankbind,energy_ratio_within_threshold,n_aromatic_rings,0.13047373009465,-0.05908626956267904,0.3236868329385406,0.181,219,428,428,False,0.13047373009465
tankbind,no_volume_clash_with_organic_cofactors,formal_charge,-0.11779366232387926,-0.29630316474054363,0.06510162668375401,0.2722250125565043,53,187,187,False,0.11779366232387926
diffdock,no_volume_clash_with_organic_cofactors,formal_charge,-0.11691676474743128,-0.29523397464352763,0.06429248787208777,0.2722250125565043,52,187,187,False,0.11691676474743128
tankbind,sp3_stereochemistry_preserved,formal_charge,-0.11644994785076446,-0.39583128773124165,0.13953504250602217,0.378,181,249,249,False,0.11644994785076446
tankbind,no_clashes_with_protein,formal_charge,0.11628222534486657,0.013410161111151064,0.20959535006239807,0.041,357,428,428,False,0.11628222534486657
unimol,aromatic_ring_flatness_passes,formal_charge,-0.11580281652722406,-0.23625737126633103,0.09753505796206502,0.21510755377688845,89,340,340,False,0.11580281652722406
unimol,no_internal_clashes,formal_charge,-0.11485152117683811,-0.21150229308966764,0.0,0.058,66,427,427,False,0.11485152117683811
equibind,no_volume_clash_with_protein,n_aromatic_rings,-0.11331827672590906,-0.42195502406876706,0.2104864126150827,0.513,382,426,426,False,0.11331827672590906
deepdock,no_clashes_with_protein,formal_charge,0.11204256844477048,0.012679742725945792,0.20473758197520667,0.032,370,427,427,False,0.11204256844477048
tankbind,no_volume_clash_with_protein,n_stereocentres,0.11140366979665955,-0.08078301439267119,0.29636505384189976,0.247,199,428,428,False,0.11140366979665955
diffdock,no_clashes_with_protein,n_aromatic_rings,-0.10892053072228625,-0.3274818193629488,0.0964513046022664,0.323,291,426,426,False,0.10892053072228625
diffdock,energy_ratio_within_threshold,formal_charge,0.10845302648109553,-0.16483301344877357,0.6221290720161964,0.745,26,426,426,False,0.10845302648109553
equibind,no_volume_clash_with_protein,formal_charge,0.1083765551863691,0.0,0.19745903070607085,0.065,382,426,426,False,0.1083765551863691
tankbind,no_volume_clash_with_organic_cofactors,n_halogens,-0.1071683992751598,-0.3730951260220198,0.21143358256405728,0.462,53,187,187,False,0.1071683992751598
